id,name,phone_code,iso3,currency
1,Afghanistan,93,AFG,AFN
2,Aland Islands,340,ALA,EUR
3,Albania,355,ALB,ALL
4,Algeria,213,DZA,DZD
5,American Samoa,-683,ASM,USD
6,Andorra,376,AND,EUR
7,Angola,244,AGO,AOA
8,Anguilla,-263,AIA,XCD
9,Antarctica,,ATA,
10,Antigua And Barbuda,-267,ATG,XCD
11,Argentina,54,ARG,ARS
12,Armenia,374,ARM,AMD
13,Aruba,297,ABW,AWG
14,Australia,61,AUS,AUD
15,Austria,43,AUT,EUR
16,Azerbaijan,994,AZE,AZN
17,Bahamas The,-241,BHS,BSD
18,Bahrain,973,BHR,BHD
19,Bangladesh,880,BGD,BDT
20,Barbados,-245,BRB,BBD
21,Belarus,375,BLR,BYN
22,Belgium,32,BEL,EUR
23,Belize,501,BLZ,BZD
24,Benin,229,BEN,XOF
25,Bermuda,-440,BMU,BMD
26,Bhutan,975,BTN,BTN
27,Bolivia,591,BOL,BOB
28,Bosnia and Herzegovina,387,BIH,BAM
29,Botswana,267,BWA,BWP
30,Bouvet Island,,BVT,NOK
31,Brazil,55,BRA,BRL
32,British Indian Ocean Territory,246,IOT,USD
33,Brunei,673,BRN,BND
34,Bulgaria,359,BGR,BGN
35,Burkina Faso,226,BFA,XOF
36,Burundi,257,BDI,BIF
37,Cambodia,855,KHM,KHR
38,Cameroon,237,CMR,XAF
39,Canada,1,CAN,CAD
40,Cape Verde,238,CPV,CVE
41,Cayman Islands,-344,CYM,KYD
42,Central African Republic,236,CAF,XAF
43,Chad,235,TCD,XAF
44,Chile,56,CHL,CLP
45,China,86,CHN,CNY
46,Christmas Island,61,CXR,AUD
47,Cocos (Keeling) Islands,61,CCK,AUD
48,Colombia,57,COL,COP
49,Comoros,269,COM,KMF
50,Congo,242,COG,XAF
51,Congo The Democratic Republic Of The,243,COD,CDF
52,Cook Islands,682,COK,NZD
53,Costa Rica,506,CRI,CRC
54,Cote D'Ivoire (Ivory Coast),225,CIV,XOF
55,Croatia (Hrvatska),385,HRV,HRK
56,Cuba,53,CUB,CUP
57,Cyprus,357,CYP,EUR
58,Czech Republic,420,CZE,CZK
59,Denmark,45,DNK,DKK
60,Djibouti,253,DJI,DJF
61,Dominica,-766,DMA,XCD
62,Dominican Republic,,DOM,DOP
63,East Timor,670,TLS,USD
64,Ecuador,593,ECU,USD
65,Egypt,20,EGY,EGP
66,El Salvador,503,SLV,USD
67,Equatorial Guinea,240,GNQ,XAF
68,Eritrea,291,ERI,ERN
69,Estonia,372,EST,EUR
70,Ethiopia,251,ETH,ETB
71,Falkland Islands,500,FLK,FKP
72,Faroe Islands,298,FRO,DKK
73,Fiji Islands,679,FJI,FJD
74,Finland,358,FIN,EUR
75,France,33,FRA,EUR
76,French Guiana,594,GUF,EUR
77,French Polynesia,689,PYF,XPF
78,French Southern Territories,,ATF,EUR
79,Gabon,241,GAB,XAF
80,Gambia The,220,GMB,GMD
81,Georgia,995,GEO,GEL
82,Germany,49,DEU,EUR
83,Ghana,233,GHA,GHS
84,Gibraltar,350,GIB,GIP
85,Greece,30,GRC,EUR
86,Greenland,299,GRL,DKK
87,Grenada,-472,GRD,XCD
88,Guadeloupe,590,GLP,EUR
89,Guam,-670,GUM,USD
90,Guatemala,502,GTM,GTQ
91,Guernsey and Alderney,-1437,GGY,GBP
92,Guinea,224,GIN,GNF
93,Guinea-Bissau,245,GNB,XOF
94,Guyana,592,GUY,GYD
95,Haiti,509,HTI,HTG
96,Heard and McDonald Islands, ,HMD,AUD
97,Honduras,504,HND,HNL
98,Hong Kong S.A.R.,852,HKG,HKD
99,Hungary,36,HUN,HUF
100,Iceland,354,ISL,ISK
101,India,91,IND,INR
102,Indonesia,62,IDN,IDR
103,Iran,98,IRN,IRR
104,Iraq,964,IRQ,IQD
105,Ireland,353,IRL,EUR
106,Israel,972,ISR,ILS
107,Italy,39,ITA,EUR
108,Jamaica,-875,JAM,JMD
109,Japan,81,JPN,JPY
110,Jersey,-1490,JEY,GBP
111,Jordan,962,JOR,JOD
112,Kazakhstan,7,KAZ,KZT
113,Kenya,254,KEN,KES
114,Kiribati,686,KIR,AUD
115,Korea North,850,PRK,KPW
116,Korea South,82,KOR,KRW
248,Kosovo,383,XKX,EUR
117,Kuwait,965,KWT,KWD
118,Kyrgyzstan,996,KGZ,KGS
119,Laos,856,LAO,LAK
120,Latvia,371,LVA,EUR
121,Lebanon,961,LBN,LBP
122,Lesotho,266,LSO,LSL
123,Liberia,231,LBR,LRD
124,Libya,218,LBY,LYD
125,Liechtenstein,423,LIE,CHF
126,Lithuania,370,LTU,EUR
127,Luxembourg,352,LUX,EUR
128,Macau S.A.R.,853,MAC,MOP
129,Macedonia,389,MKD,MKD
130,Madagascar,261,MDG,MGA
131,Malawi,265,MWI,MWK
132,Malaysia,60,MYS,MYR
133,Maldives,960,MDV,MVR
134,Mali,223,MLI,XOF
135,Malta,356,MLT,EUR
136,Man (Isle of),-1580,IMN,GBP
137,Marshall Islands,692,MHL,USD
138,Martinique,596,MTQ,EUR
139,Mauritania,222,MRT,MRO
140,Mauritius,230,MUS,MUR
141,Mayotte,262,MYT,EUR
142,Mexico,52,MEX,MXN
143,Micronesia,691,FSM,USD
144,Moldova,373,MDA,MDL
145,Monaco,377,MCO,EUR
146,Mongolia,976,MNG,MNT
147,Montenegro,382,MNE,EUR
148,Montserrat,-663,MSR,XCD
149,Morocco,212,MAR,MAD
150,Mozambique,258,MOZ,MZN
151,Myanmar,95,MMR,MMK
152,Namibia,264,NAM,NAD
153,Nauru,674,NRU,AUD
154,Nepal,977,NPL,NPR
155,Netherlands Antilles,,ANT,
156,Netherlands The,31,NLD,EUR
157,New Caledonia,687,NCL,XPF
158,New Zealand,64,NZL,NZD
159,Nicaragua,505,NIC,NIO
160,Niger,227,NER,XOF
161,Nigeria,234,NGA,NGN
162,Niue,683,NIU,NZD
163,Norfolk Island,672,NFK,AUD
164,Northern Mariana Islands,-669,MNP,USD
165,Norway,47,NOR,NOK
166,Oman,968,OMN,OMR
167,Pakistan,92,PAK,PKR
168,Palau,680,PLW,USD
169,Palestinian Territory Occupied,970,PSE,ILS
170,Panama,507,PAN,PAB
171,Papua new Guinea,675,PNG,PGK
172,Paraguay,595,PRY,PYG
173,Peru,51,PER,PEN
174,Philippines,63,PHL,PHP
175,Pitcairn Island,870,PCN,NZD
176,Poland,48,POL,PLN
177,Portugal,351,PRT,EUR
178,Puerto Rico,,PRI,USD
179,Qatar,974,QAT,QAR
180,Reunion,262,REU,EUR
181,Romania,40,ROU,RON
182,Russia,7,RUS,RUB
183,Rwanda,250,RWA,RWF
184,Saint Helena,290,SHN,SHP
185,Saint Kitts And Nevis,-868,KNA,XCD
186,Saint Lucia,-757,LCA,XCD
187,Saint Pierre and Miquelon,508,SPM,EUR
188,Saint Vincent And The Grenadines,-783,VCT,XCD
189,Saint-Barthelemy,590,BLM,EUR
190,Saint-Martin (French part),590,MAF,EUR
191,Samoa,685,WSM,WST
192,San Marino,378,SMR,EUR
193,Sao Tome and Principe,239,STP,STD
194,Saudi Arabia,966,SAU,SAR
195,Senegal,221,SEN,XOF
196,Serbia,381,SRB,RSD
197,Seychelles,248,SYC,SCR
198,Sierra Leone,232,SLE,SLL
199,Singapore,65,SGP,SGD
200,Slovakia,421,SVK,EUR
201,Slovenia,386,SVN,EUR
202,Solomon Islands,677,SLB,SBD
203,Somalia,252,SOM,SOS
204,South Africa,27,ZAF,ZAR
205,South Georgia,,SGS,GBP
206,South Sudan,211,SSD,SSP
207,Spain,34,ESP,EUR
208,Sri Lanka,94,LKA,LKR
209,Sudan,249,SDN,SDG
210,Suriname,597,SUR,SRD
211,Svalbard And Jan Mayen Islands,47,SJM,NOK
